date,high,low,open,close,volume,position,return,strategy_return,equity_curve,drawdown
2022-10-17,155.3300018310547,153.32000732421875,154.9199981689453,153.4199981689453,4348000.0,0.0,,,,
2022-10-18,154.24000549316406,153.24000549316406,154.0800018310547,153.75,4528400.0,0.0,0.0021509701146735782,0.0,1.0,0.0
2022-10-19,152.49000549316406,151.5399932861328,152.08999633789062,151.69000244140625,8257100.0,0.0,-0.013398358104674823,-0.0,1.0,0.0
2022-10-20,153.22999572753906,151.27000427246094,151.9199981689453,151.4499969482422,5019800.0,0.0,-0.0015822103586343728,-0.0,1.0,0.0
2022-10-21,154.30999755859375,151.8300018310547,151.97999572753906,154.14999389648438,6898400.0,0.0,0.017827646105301076,0.0,1.0,0.0
2022-10-24,154.05999755859375,153.05999755859375,153.4499969482422,153.64999389648438,4673300.0,0.0,-0.003243594030472474,-0.0,1.0,0.0
2022-10-25,154.7899932861328,153.8300018310547,153.9600067138672,154.0,3434100.0,0.0,0.002277944142005106,0.0,1.0,0.0
2022-10-26,155.72999572753906,154.77999877929688,154.77999877929688,154.97999572753906,4448200.0,0.0,0.006363608620383543,0.0,1.0,0.0
2022-10-27,155.08999633789062,154.22000122070312,154.7100067138672,154.74000549316406,3654900.0,0.0,-0.001548523944967184,-0.0,1.0,0.0
2022-10-28,153.5399932861328,152.5,152.9600067138672,153.16000366210938,4645400.0,0.0,-0.010210687443231947,-0.0,1.0,0.0
2022-10-31,152.8699951171875,151.88999938964844,152.16000366210938,151.91000366210938,6097800.0,0.0,-0.008161399648159207,-0.0,1.0,0.0
2022-11-01,153.97999572753906,152.8699951171875,153.82000732421875,153.4600067138672,4603600.0,0.0,0.010203429757038585,0.0,1.0,0.0
2022-11-02,155.4199981689453,152.25999450683594,154.16000366210938,152.38999938964844,7210900.0,0.0,-0.006972548399621914,-0.0,1.0,0.0
2022-11-03,151.9600067138672,150.57000732421875,150.6999969482422,151.80999755859375,5378800.0,0.0,-0.003806036048150885,-0.0,1.0,0.0
2022-11-04,156.60000610351562,154.66000366210938,154.9499969482422,156.47000122070312,7692000.0,0.0,0.030696289684813083,0.0,1.0,0.0
