date,high,low,open,volume,sma_5,sma_20,sma_50,sma_100,sma_200,ema_12,ema_26,rsi_7,rsi_14,rsi_20,ret_1,ret_5,ret_10,ret_20,ret_mean_5,ret_mean_20,ret_median_20,ret_skew_20,ret_kurt_20,vol_10,vol_20,vol_50,vol_ratio,atr_14,ema_12_slope,ema_26_slope,sma_5_slope,sma_20_slope,sma_50_slope,sma_100_slope,sma_200_slope,macd,macd_signal,macd_hist,vol_z,vol_pct,vol_atr_ratio,trend_regime,volume_regime,momentum_regime
2010-10-19,721.9199829101562,711.6799926757812,714.239990234375,148585.0,731.1360107421875,772.0320007324219,823.9871984863281,917.5295977783203,990.2719979858398,746.5153724691576,778.4915684077404,29.512672153163578,32.41176732037816,34.1014053819911,0.007181321475811853,-0.034423375427686365,-0.06655575376606127,-0.13957052915248558,-0.006877842397305112,-0.007248244465003095,-0.06540311018561962,-0.8449944642076913,1.0165366864740646,0.02675587088529347,0.02225102414103119,0.019479182038422062,1.37356234119679,27.0628662109375,-0.006877962987389741,-0.006169759980217182,-0.006954096233430795,-0.007487245743769244,-0.005223142724718466,-0.002393742581969893,-0.00324029054345798,-31.976195938582805,-29.514977178705742,-2.461218759877063,-0.5633763624540252,0.060267163715439574,5490.364503222838,0,1,0
2010-10-20,729.5999755859375,715.52001953125,719.3599853515625,104111.0,724.7360107421875,765.952001953125,819.7631982421875,915.1999981689453,987.2575982666016,742.1407024108015,774.0166386804888,29.512672153163592,32.41176732037816,34.1014053819911,0.0,-0.0426621150689408,-0.09223296288949134,-0.14481704535848083,-0.008599019375869533,-0.007554992639619984,-0.06915931597016939,-0.8272556651423962,1.0763435663058223,0.02402119570150173,0.022098580967674808,0.01949220799518582,1.2323486239955206,25.691436767578125,-0.005860120527574009,-0.005748205772355686,-0.008753501271949737,-0.007875319641580725,-0.005126293529681192,-0.0025389912380111568,-0.003044011872868624,-31.87593626968726,-29.987168996902046,-1.8887672727852127,-1.1034194035383824,0.017086051568810188,4052.36191894823,0,1,0
2010-10-21,710.4000244140625,686.0800170898438,706.5599975585938,308502.0,713.9840087890625,758.2080017089844,815.0015979003906,912.9215985107422,983.7951983642578,734.6975189269282,768.0717032053136,21.461622300757895,28.246318650219436,31.13817494221402,-0.03386810208530833,-0.07191781940413644,-0.0606585625285162,-0.18250377334254497,-0.014690046602800355,-0.00978193564229975,-0.06915931597016939,-0.5872764153092852,0.563096135682591,0.01647023356435975,0.02240725279157829,0.0198808105352627,0.8284487966497346,26.788578578404017,-0.010029342764376836,-0.007680630077035344,-0.014835749560883738,-0.010110294410607845,-0.0058085070810780515,-0.0024895101210243853,-0.003507088634640998,-33.37418427838543,-30.664572053198725,-2.709612225186703,1.1978212174956102,0.28766697732214974,11516.176533856975,0,0,0
2010-10-22,688.6400146484375,674.5599975585938,686.0800170898438,182458.0,705.0240112304688,751.168002319336,810.13759765625,910.0799981689453,980.4159985351563,726.6271298973046,761.7137985407996,18.64998794455758,26.508447530885007,29.84507602768845,-0.016605193970666954,-0.06161970338209355,-0.08576329443279929,-0.1710730846032985,-0.012531622380880014,-0.009103897583291049,-0.07300622548970143,-0.681945326361259,0.9519610691432328,0.01565553938969378,0.021958655488451988,0.019940215238271986,0.7851238917243747,26.422864641462052,-0.010984641735841016,-0.008277748858578127,-0.012549297250774805,-0.009285050241860326,-0.005968086757953905,-0.0031126444444216084,-0.0034348610714100003,-35.086668643495045,-31.54899137125799,-3.5376772722370546,-0.2911708787446971,0.11090400745573159,6905.3072963819295,0,0,0
2010-10-25,687.3599853515625,665.5999755859375,674.5599975585938,156006.0,699.1360107421875,745.4080047607422,805.1455981445313,906.6623980712891,977.1711987304687,719.9952667640655,755.9216667623144,20.008469616914013,27.045552121914398,30.184182057594313,0.0018762155769191935,-0.041292641289970344,-0.0713043212890625,-0.1442307133881513,-0.008283151800648847,-0.00753263686437603,-0.07300622548970143,-0.9084434022284684,1.5421506700709606,0.01588764120067578,0.021539012319884872,0.019867556080902078,0.7996776823470483,26.605721609933035,-0.00912691373659058,-0.007604078841135675,-0.008351489303186965,-0.007668055003420049,-0.006161915613052349,-0.0037552743764639462,-0.0033096153158818087,-35.92639999824894,-32.42447309665618,-3.5019269015927605,-0.5560109188709854,0.06865486175831004,5863.625963137057,0,0,0
2010-10-26,701.4400024414062,675.8400268554688,691.2000122070312,178388.0,694.0160034179687,739.4560028076172,800.767998046875,903.1167974853515,974.2783984375,715.7621457955554,751.2222825924208,29.60804814792941,30.85492582693091,32.58519893371087,0.013108556708616437,-0.03565067403608135,-0.06884683292717364,-0.14668774176545873,-0.00709770475408793,-0.00767849416626667,-0.07300622548970143,-0.9316863634074234,1.6191259843843222,0.016237085713003793,0.021380377135239423,0.019887772779995073,0.8164356005382628,26.331438337053573,-0.005879373329126691,-0.006216760778959496,-0.007323335153031962,-0.00798489138178149,-0.005437029163103513,-0.003910607292725521,-0.0029603822715272843,-35.46013679686541,-33.03160583669803,-2.428530960167386,-0.3172972833528831,0.10282696489593042,6774.7153693830915,0,0,0
2010-10-27,709.1199951171875,686.0800170898438,696.3200073242188,131746.0,689.9199951171875,733.8240020751953,796.3391979980469,899.3407977294922,971.3023980712891,712.9679657633064,747.2502598511999,34.82258245525961,33.00758633623256,33.95149309295063,0.007393708499300766,-0.02852055622840688,-0.06996592404570123,-0.1390205568795173,-0.005618963054227777,-0.007229942584825644,-0.07300622548970143,-0.9532263136268792,1.5160415142128805,0.016111777876733017,0.021608006602334796,0.019873769455588462,0.8107056848343593,24.868582589285715,-0.003903782909814635,-0.00528741337053229,-0.005901893156078142,-0.007616410862901879,-0.005530690611550759,-0.0041810757660285525,-0.0030545687669804034,-34.28229408789343,-33.28174348693711,-1.0005506009563234,-0.9249426798665443,0.04100652376514446,5297.688339373268,0,0,0
2010-10-28,723.2000122070312,674.5599975585938,695.0399780273438,296056.0,695.29599609375,730.3680023193359,792.4991979980468,896.0767974853516,968.2751983642578,714.1482809764035,745.2791305769213,53.07308960196836,41.78993594775989,39.73685833680803,0.03302758008720952,0.03874539394666665,-0.035958909702068276,-0.08752025205441849,0.007760173380275792,-0.004314741705737296,-0.07153359973167,-0.8783203564646149,1.518169777896704,0.0205502011094109,0.02293725683027052,0.020597114592563984,0.9977223274191027,27.337153843470983,0.001655495435665788,-0.002637843544773255,0.007792209262828198,-0.004709575792132825,-0.004822065785099583,-0.003629325226189084,-0.003116639795230025,-31.130849600517763,-32.85156470965324,1.720715109135476,1.062075808357752,0.2739981360671016,10829.80333999576,0,0,0
2010-10-29,747.52001953125,715.52001953125,716.7999877929688,235963.0,707.8400024414062,728.7680023193359,789.3759985351562,893.311997680664,965.5423983764648,718.8885488219809,745.2554929025313,65.10569389817985,49.339467742694936,45.08177743068238,0.03374778922883315,0.09193250562274224,0.02464794851300267,-0.04118616028499622,0.01783077002017581,-0.0018169802556729565,-0.07063512266738187,-0.8543759791681126,1.2858432797931938,0.021702413429294885,0.024256069252075907,0.021257397292791726,1.0209346483190613,31.268580845424108,0.006637652112102543,-3.171653870370772e-05,0.01804124634418991,-0.002190676473940667,-0.003940949682700312,-0.0030854496092816985,-0.002822338104300881,-26.36694408055041,-31.554640583832676,5.187696503282265,0.303777155107817,0.1904318111214663,7546.329050444616,0,1,0
2010-11-01,743.6799926757812,705.280029296875,741.1199951171875,247317.0,712.447998046875,726.0160034179687,785.7151989746094,890.1503979492187,962.5215985107421,716.9918486276136,742.3891599140915,44.21927841405072,40.424511694980545,39.2899567015046,-0.05154642300452461,0.033707832059029164,-0.008976694648817118,-0.07226888102904505,0.0071462423038870515,-0.003405830573917351,-0.06940637848643744,-0.8302671654805942,0.49306159304413405,0.027055314109046654,0.026436636872045866,0.02228221201670392,1.2142113219623154,32.36572265625,-0.0026383786436371404,-0.0038461078324647513,0.0065099395196306364,-0.0037762345391246788,-0.004637586609347322,-0.0035391887041189563,-0.003128604057990647,-25.397311286477816,-30.323174724361706,4.925863437883891,0.4117743629067067,0.20751786269027647,7641.324824620955,0,1,0
