date,high,low,open,close,volume,prob_up,predicted_return_5_bar,predicted_return_10_bar,ret5_norm,ret10_norm,prob_norm,ensemble_score,signal,position
2023-08-04,180.77000427246094,179.85000610351562,180.25,180.19000244140625,5326200.0,0.21133928,-0.071376584,-0.071376584,0.22365522,0.22365522,-0.5773214,-0.1768331,0,0
2023-08-07,180.14999389648438,179.27000427246094,180.14999389648438,179.77999877929688,4510400.0,0.38057914,-0.067090176,-0.067090176,0.43608022,0.43608022,-0.23884171,0.09861926,1,1
2023-08-08,179.3300018310547,178.4600067138672,178.63999938964844,178.63999938964844,6162900.0,0.27753532,-0.06479902,-0.06479902,0.5496249,0.5496249,-0.44492936,0.052347794,1,1
2023-08-09,178.9199981689453,177.77999877929688,178.67999267578125,177.7899932861328,4644000.0,0.49102575,-0.060203135,-0.060203135,0.7773869,0.7773869,-0.017948508,0.3797192,1,1
2023-08-10,178.6999969482422,177.5399932861328,178.22000122070312,177.60000610351562,5934600.0,0.20332903,-0.06381621,-0.06381621,0.59833074,0.59833074,-0.59334195,0.0024944022,0,0
2023-08-11,178.36000061035156,177.49000549316406,177.6999969482422,177.60000610351562,5289700.0,0.21112314,-0.06987256,-0.06987256,0.29819143,0.29819143,-0.5777537,-0.13978115,0,0
2023-08-14,177.5800018310547,176.5800018310547,176.86000061035156,177.05999755859375,9554500.0,0.4298118,-0.0672651,-0.0672651,0.42741132,0.42741132,-0.14037639,0.14351746,1,1
2023-08-15,177.42999267578125,176.3300018310547,176.75,176.58999633789062,7582700.0,0.35815078,-0.06102121,-0.06102121,0.7368449,0.7368449,-0.28369844,0.22657324,1,1
2023-08-16,176.9499969482422,175.55999755859375,176.6199951171875,175.57000732421875,6559400.0,0.2563838,-0.06744403,-0.06744403,0.41854417,0.41854417,-0.4872324,-0.034344092,0,0
2023-08-17,176.55999755859375,174.92999267578125,176.52999877929688,175.3000030517578,7937700.0,0.3918621,-0.06677668,-0.06677668,0.45161653,0.45161653,-0.21627581,0.117670365,1,1
2023-08-18,176.05999755859375,175.10000610351562,175.8300018310547,175.3300018310547,6253000.0,0.18791312,-0.06144557,-0.06144557,0.7158145,0.7158145,-0.62417376,0.045820355,0,0
2023-08-21,175.94000244140625,174.9600067138672,175.89999389648438,175.80999755859375,4206400.0,0.22960371,-0.06946433,-0.06946433,0.3184222,0.3184222,-0.5407926,-0.111185186,0,0
2023-08-22,176.25,175.30999755859375,175.8300018310547,176.10000610351562,5892200.0,0.2646514,-0.07371879,-0.07371879,0.10758042,0.10758042,-0.47069722,-0.1815584,0,0
