,entry_date,exit_date,entry_price,exit_price,direction,return,bars_held
0,2015-01-30,2015-02-02,25.973392486572266,26.299285888671875,1.0,0.012547201997894187,3
1,2015-02-11,2015-02-13,27.794113159179688,28.28376007080078,1.0,0.01761692876534094,2
2,2015-07-09,2015-07-10,26.835203170776367,27.55262565612793,1.0,0.026734378748167562,1
3,2015-08-03,2015-08-10,26.47089958190918,26.878089904785156,1.0,0.015382564601403262,7
4,2015-08-21,2015-08-28,23.743955612182617,25.43450355529785,1.0,0.07119908623177526,7
5,2015-09-09,2015-09-10,24.729551315307617,25.272857666015625,1.0,0.0219699235049081,1
6,2015-10-28,2015-10-29,26.777061462402344,27.059940338134766,1.0,0.010564224014259814,1
7,2015-12-18,2015-12-21,23.90646743774414,24.199573516845703,1.0,0.012260534931179299,3
8,2016-01-08,2016-01-11,21.86147117614746,22.2154541015625,1.0,0.016192090759256015,3
9,2016-01-28,2016-01-29,21.214374542236328,21.9471492767334,1.0,0.03454142534526141,1
10,2016-02-11,2016-02-17,21.241073608398438,22.243061065673828,1.0,0.04717216632963497,6
11,2016-02-19,2016-02-22,21.771543502807617,21.961965560913086,1.0,0.008746373819610551,3
12,2016-02-23,2016-02-26,21.465499877929688,21.96875762939453,1.0,0.023444958390290333,3
13,2016-02-29,2016-03-04,21.918888092041016,23.351587295532227,1.0,0.06536368074306832,4
14,2016-03-08,2016-03-15,22.90273666381836,23.707487106323242,1.0,0.035137741585974915,7
15,2016-03-28,2016-03-29,23.845773696899414,24.41023826599121,1.0,0.0236714721974063,1
16,2016-03-31,2016-04-01,24.70720672607422,24.933897018432617,1.0,0.009175067617788042,1
17,2016-04-08,2016-04-11,24.632396697998047,24.714004516601562,1.0,0.0033130279446233566,3
18,2016-05-02,2016-05-03,21.227476119995117,21.576581954956055,1.0,0.016445941711935266,1
19,2016-05-09,2016-05-10,21.162858963012695,21.30654525756836,1.0,0.006789550259102101,1
20,2016-05-12,2016-05-16,20.604076385498047,21.411457061767578,1.0,0.03918548257944711,4
21,2016-05-17,2016-05-18,21.3225040435791,21.56654167175293,1.0,0.011445073602756135,1
22,2016-05-19,2016-05-26,21.484434127807617,22.900775909423828,1.0,0.06592409058533308,7
23,2016-06-03,2016-06-07,22.332870483398438,22.586027145385742,1.0,0.01133560785101465,4
24,2016-06-27,2016-07-01,20.991802215576172,21.8698787689209,1.0,0.0418294982168412,4
25,2016-07-05,2016-07-12,21.664615631103516,22.218828201293945,1.0,0.025581463323759886,7
26,2016-07-13,2016-07-14,22.093395233154297,22.53129005432129,1.0,0.019820168722183017,1
27,2016-07-15,2016-07-20,22.529006958007812,22.798131942749023,1.0,0.011945710045846115,5
28,2016-07-29,2016-08-01,23.76744842529297,24.18709373474121,1.0,0.017656304620468296,3
29,2016-08-03,2016-08-05,24.1278018951416,24.646032333374023,1.0,0.021478559898851512,2
30,2016-08-11,2016-08-15,24.749225616455078,25.104658126831055,1.0,0.014361358851553693,4
31,2016-10-03,2016-10-10,25.801746368408203,26.6112060546875,1.0,0.03137228289595171,7
32,2016-11-04,2016-11-07,25.086029052734375,25.447895050048828,1.0,0.014425001125278126,3
33,2016-11-10,2016-11-11,24.844018936157227,24.991531372070312,1.0,0.005937543208776131,1
34,2016-11-14,2016-11-15,24.364614486694336,24.68729591369629,1.0,0.01324385523022215,1
35,2016-12-14,2016-12-15,26.54961585998535,26.694822311401367,1.0,0.005469248676959793,1
36,2016-12-19,2016-12-20,26.883819580078125,26.955270767211914,1.0,0.0026577766199092096,1
37,2017-02-02,2017-03-01,29.624290466308594,32.35924530029297,1.0,0.0923213616574146,27
38,2017-03-02,2017-03-03,32.16710662841797,32.35693359375,1.0,0.005901275720096286,1
39,2017-03-06,2017-03-07,32.255088806152344,32.29674530029297,1.0,0.0012914704526462016,1
40,2017-03-09,2017-03-13,32.102291107177734,32.22267532348633,1.0,0.0037500194583207523,4
41,2017-05-01,2017-05-02,33.9310302734375,34.14631652832031,1.0,0.006344819274507758,1
42,2017-05-04,2017-05-08,33.91945266723633,35.41947937011719,1.0,0.04422319892943832,4
43,2017-05-10,2017-05-12,35.47734832763672,36.28390884399414,1.0,0.02273452088100717,2
44,2017-05-18,2017-05-22,35.456417083740234,35.7934684753418,1.0,0.009506075890452255,4
45,2017-05-26,2017-05-30,35.705135345458984,35.719085693359375,1.0,0.0003907098451081728,4
46,2017-05-31,2017-06-01,35.50754165649414,35.60519790649414,1.0,0.0027502960059793153,1
47,2017-06-05,2017-06-07,35.77951431274414,36.114227294921875,1.0,0.009354877745182653,2
48,2017-06-16,2017-06-19,33.06926727294922,34.01530456542969,1.0,0.028607748840396314,3
49,2017-07-07,2017-07-19,33.51322555541992,35.103111267089844,1.0,0.04744054579410062,12
50,2017-07-21,2017-07-24,34.92878723144531,35.35182571411133,1.0,0.012111456371584728,3
51,2017-07-27,2017-07-28,34.996185302734375,34.749820709228516,1.0,-0.007039755658357714,1
52,2017-08-01,2017-08-02,34.877647399902344,36.5256462097168,1.0,0.04725085929445653,1
53,2017-08-08,2017-08-09,37.20903396606445,37.43680953979492,1.0,0.0061215126933476865,1
54,2017-08-11,2017-08-14,36.74843215942383,37.30146789550781,1.0,0.015049233493412126,3
55,2017-08-18,2017-08-23,36.75310134887695,37.33181381225586,1.0,0.015745949107410215,5
56,2017-08-24,2017-08-28,37.16611862182617,37.679508209228516,1.0,0.01381337644175872,4
57,2017-09-25,2017-09-26,35.13129806518555,35.735679626464844,1.0,0.017203507828201417,1
58,2017-10-16,2017-10-17,37.3084831237793,37.44614791870117,1.0,0.003689905978357282,1
59,2017-10-23,2017-10-24,36.44273376464844,36.65974807739258,1.0,0.0059549405416631255,1
60,2017-10-31,2017-11-01,39.44599151611328,38.94427490234375,1.0,-0.01271907726199721,1
61,2017-11-06,2017-11-07,40.66176223754883,40.79242706298828,1.0,0.0032134570232372167,1
62,2018-02-05,2018-02-06,36.648681640625,38.180301666259766,1.0,0.041791954227815044,1
63,2018-02-08,2018-02-12,36.33486557006836,38.26072311401367,1.0,0.05300301827817356,4
64,2018-06-05,2018-06-06,45.63148498535156,45.789642333984375,1.0,0.0034659697943992735,1
65,2018-08-03,2018-08-16,49.09675979614258,50.531517028808594,1.0,0.029223053387297897,13
66,2018-08-20,2018-08-29,51.03844451904297,52.81979751586914,1.0,0.03490218037819571,9
67,2018-09-19,2018-09-20,51.7277717590332,52.120994567871094,1.0,0.007601773582470663,1
68,2018-09-24,2018-09-25,52.301025390625,52.63265609741211,1.0,0.006340806978643949,1
69,2018-09-27,2018-09-28,53.286441802978516,53.47358322143555,1.0,0.00351198939401825,1
70,2018-10-19,2018-10-22,51.95044708251953,52.267852783203125,1.0,0.006109778038664763,3
71,2018-11-23,2018-11-26,40.954673767089844,41.508544921875,1.0,0.013524003583450184,3
72,2018-11-27,2018-11-28,41.418212890625,43.01084899902344,1.0,0.038452554981166995,1
73,2018-12-24,2018-12-26,34.90264129638672,37.36052703857422,1.0,0.07042119595808216,2
74,2019-01-03,2019-01-04,33.79967498779297,35.2425651550293,1.0,0.042689468693336244,1
75,2019-01-17,2019-01-18,37.04914093017578,37.27733612060547,1.0,0.006159257264824381,1
76,2019-02-01,2019-02-04,39.583106994628906,40.70746994018555,1.0,0.028405121045935258,3
77,2019-03-13,2019-03-15,43.379146575927734,44.43192672729492,1.0,0.02426926840352834,2
78,2019-03-19,2019-03-21,44.5297966003418,46.57331848144531,1.0,0.04589111195463736,2
79,2019-04-03,2019-04-11,46.635379791259766,47.49479293823242,1.0,0.018428350982009678,8
80,2019-04-15,2019-04-23,47.56163787841797,49.5311279296875,1.0,0.04140921421386176,8
81,2019-06-03,2019-06-04,41.53076934814453,43.05012130737305,1.0,0.03658376627921524,1
82,2019-07-01,2019-07-02,48.30078887939453,48.583560943603516,1.0,0.0058543984636577435,1
